# lambda=0.7 and 0.8 
#  z           H(z)
0.000000000000 1.000000000000
0.050000000000 1.136574846838
0.100000000000 1.247350442497
0.150000000000 1.350833592821
0.200000000000 1.450351412812
0.250000000000 1.547326233982
0.300000000000 1.642522264472
0.350000000000 1.736403725423
0.400000000000 1.829275603207
0.450000000000 1.921349591724
0.500000000000 2.012778770003
0.550000000000 2.103677409951
0.600000000000 2.194133019329
0.650000000000 2.284214031336
0.700000000000 2.373974912546
0.750000000000 2.463459668545
0.800000000000 2.552704316850
0.850000000000 2.641738672676
0.900000000000 2.730587664880
0.950000000000 2.819272322977
1.000000000000 2.907810529096
